id_transaksi,tanggal,cabang,kategori_produk,nama_produk,harga_satuan,jumlah_terjual,total_penjualan,metode_pembayaran,jenis_kelamin_pelanggan,usia_pelanggan,rating_kepuasan,status_promo,biaya_iklan_harian
TRX00422,2026-01-07,Surabaya,Smartphone,Xiaomi Redmi Note 14,3200000,1,3200000,E-Wallet,Perempuan,58,3,Tidak,640000
TRX00423,2026-06-10,Malang,Laptop,ASUS Vivobook 14,9400000,1,9400000,Debit,Laki-laki,34,3,Tidak,390000
TRX00424,2026-04-30,Malang,Laptop,ASUS Vivobook 14,10950000,3,32850000,E-Wallet,Perempuan,58,3,Tidak,370000
TRX00425,2026-05-08,Jakarta,Smartphone,OPPO Reno 12,12000000,1,12000000,Kredit,Perempuan,54,5,Tidak,920000
TRX00426,2026-04-15,Jakarta,Aksesoris,Mouse Wireless,650000,5,3643000,Debit,Perempuan,45,4,Ya,800000
TRX00427,2026-04-25,Surabaya,Smartphone,Xiaomi Redmi Note 14,4800000,3,14400000,Debit,Laki-laki,49,5,Tidak,470000
TRX00428,2026-06-30,Malang,Smartphone,Xiaomi Redmi Note 14,10450000,4,41800000,Debit,Laki-laki,34,4,Tidak,410000
TRX00429,2026-02-25,Surabaya,Elektronik Rumah Tangga,Rice Cooker Digital,3400000,1,3400000,Debit,Perempuan,39,2,Tidak,760000
TRX00430,2026-01-07,Jakarta,Laptop,ASUS Vivobook 14,15300000,1,15300000,Kredit,Perempuan,56,4,Tidak,1160000
TRX00431,2026-04-05,Surabaya,Smartphone,Vivo V30,11350000,1,11350000,Debit,Laki-laki,59,2,Tidak,580000
TRX00432,2026-01-05,Bandung,Smartphone,Vivo V30,3300000,1,3300000,Tunai,Perempuan,32,4,Tidak,290000
TRX00433,2026-05-31,Surabaya,Aksesoris,Headset Bluetooth,850000,1,850000,Debit,Perempuan,18,4,Tidak,690000
TRX00434,2026-01-05,Surabaya,Smartphone,Vivo V30,6400000,4,25600000,E-Wallet,Laki-laki,41,5,Tidak,640000
TRX00435,2026-05-08,Jakarta,Laptop,ASUS Vivobook 14,13750000,3,41250000,E-Wallet,Laki-laki,37,4,Tidak,960000
TRX00436,2026-02-14,Malang,Smartphone,OPPO Reno 12,10950000,4,43800000,Kredit,Perempuan,21,4,Tidak,390000
TRX00437,2026-05-09,Jakarta,Elektronik Rumah Tangga,Air Fryer,350000,3,1050000,E-Wallet,Perempuan,36,2,Tidak,990000
TRX00438,2026-02-28,Surabaya,Elektronik Rumah Tangga,Rice Cooker Digital,2750000,4,11000000,Tunai,Laki-laki,26,5,Tidak,740000
TRX00439,2026-05-30,Jakarta,Laptop,HP 14,8650000,5,43250000,Kredit,Laki-laki,30,4,Tidak,890000
TRX00440,2026-05-23,Malang,Smartphone,Vivo V30,8050000,4,36348000,E-Wallet,Perempuan,57,4,Ya,390000
TRX00441,2026-02-05,Jakarta,Aksesoris,Headset Bluetooth,150000,1,150000,E-Wallet,Perempuan,49,4,Tidak,1000000
TRX00442,2026-03-30,Surabaya,Aksesoris,Power Bank,750000,1,865000,E-Wallet,Laki-laki,21,3,Ya,660000
TRX00443,2026-04-30,Bandung,Smartphone,Xiaomi Redmi Note 14,6150000,3,18450000,Tunai,Perempuan,42,5,Tidak,430000
TRX00444,2026-02-15,Surabaya,Aksesoris,Headset Bluetooth,650000,1,777000,Kredit,Perempuan,53,4,Ya,550000
TRX00445,2026-05-13,Jakarta,Laptop,Acer Aspire 5,17150000,2,34300000,Debit,Perempuan,59,2,Tidak,990000
TRX00446,2026-06-11,Bandung,Laptop,Acer Aspire 5,16900000,1,16900000,Kredit,Laki-laki,53,5,Tidak,320000
TRX00447,2026-06-05,Malang,Elektronik Rumah Tangga,Air Fryer,3200000,1,3200000,Kredit,Laki-laki,27,5,Tidak,580000
TRX00448,2026-02-02,Surabaya,Aksesoris,Headset Bluetooth,400000,4,1600000,Tunai,Laki-laki,25,3,Tidak,440000
TRX00449,2026-06-05,Bandung,Smartphone,Samsung Galaxy A15,2700000,1,2700000,Kredit,Laki-laki,18,3,Tidak,430000
TRX00450,2026-01-15,Surabaya,Smartphone,OPPO Reno 12,3450000,1,3450000,Tunai,Perempuan,35,5,Tidak,670000
TRX00451,2026-05-29,Bandung,Smartphone,OPPO Reno 12,5650000,1,5650000,E-Wallet,Laki-laki,42,2,Tidak,310000
TRX00452,2026-03-22,Malang,Laptop,ASUS Vivobook 14,16750000,2,40497000,Debit,Laki-laki,32,2,Ya,420000
TRX00453,2026-04-06,Surabaya,Elektronik Rumah Tangga,"Smart TV 43""",3500000,2,7877000,Debit,Perempuan,51,3,Ya,610000
TRX00454,2026-01-28,Jakarta,Elektronik Rumah Tangga,Air Fryer,700000,1,700000,Kredit,Perempuan,29,2,Tidak,1000000
TRX00455,2026-01-20,Surabaya,Aksesoris,Headset Bluetooth,500000,4,2214000,E-Wallet,Laki-laki,47,2,Ya,530000
TRX00456,2026-02-21,Jakarta,Smartphone,Samsung Galaxy A15,6200000,5,32622000,Debit,Laki-laki,18,4,Ya,1030000
TRX00457,2026-06-28,Bandung,Smartphone,Vivo V30,5450000,2,12975000,Kredit,Perempuan,31,4,Ya,420000
TRX00458,2026-02-08,Jakarta,Smartphone,Vivo V30,2550000,2,5100000,Kredit,Perempuan,21,4,Tidak,920000
TRX00459,2026-02-12,Bandung,Laptop,HP 14,9400000,5,47000000,Tunai,Laki-laki,28,2,Tidak,360000
TRX00460,2026-01-17,Malang,Smartphone,Samsung Galaxy A15,10800000,2,21600000,E-Wallet,Perempuan,37,4,Tidak,490000
TRX00461,2026-05-08,Surabaya,Laptop,Lenovo IdeaPad Slim 3,11650000,5,58250000,Debit,Laki-laki,59,5,Tidak,420000
TRX00462,2026-06-03,Bandung,Laptop,HP 14,15800000,2,38489000,E-Wallet,Perempuan,21,1,Ya,300000
TRX00463,2026-05-12,Bandung,Smartphone,Samsung Galaxy A15,8650000,1,8650000,Tunai,Perempuan,57,3,Tidak,530000
TRX00464,2026-06-03,Bandung,Laptop,HP 14,16900000,2,33800000,Kredit,Laki-laki,59,4,Tidak,400000
TRX00465,2026-06-23,Bandung,Aksesoris,Headset Bluetooth,650000,1,650000,Debit,Perempuan,48,4,Tidak,400000
TRX00466,2026-05-03,Bandung,Elektronik Rumah Tangga,Kipas Angin,950000,1,950000,Debit,Perempuan,40,5,Tidak,470000
TRX00467,2026-05-18,Surabaya,Elektronik Rumah Tangga,Kipas Angin,3250000,1,3250000,Kredit,Laki-laki,25,3,Tidak,660000
TRX00468,2026-01-09,Surabaya,Smartphone,OPPO Reno 12,10750000,1,10750000,Tunai,Perempuan,37,4,Tidak,540000
TRX00469,2026-06-16,Jakarta,Laptop,Lenovo IdeaPad Slim 3,10200000,2,20400000,E-Wallet,Perempuan,35,3,Tidak,910000
TRX00470,2026-05-17,Jakarta,Laptop,HP 14,10700000,1,10700000,Debit,Perempuan,39,4,Tidak,910000
TRX00471,2026-01-05,Surabaya,Smartphone,Samsung Galaxy A15,5150000,3,17589000,Debit,Perempuan,50,5,Ya,650000
TRX00472,2026-04-28,Surabaya,Elektronik Rumah Tangga,Kipas Angin,6700000,4,33406000,Kredit,Perempuan,31,3,Ya,560000
TRX00473,2026-03-08,Malang,Laptop,Lenovo IdeaPad Slim 3,15650000,4,62600000,Kredit,Perempuan,32,5,Tidak,390000
TRX00474,2026-03-12,Surabaya,Smartphone,Xiaomi Redmi Note 14,2300000,1,2535000,Tunai,Laki-laki,45,5,Ya,680000
TRX00475,2026-01-01,Surabaya,Elektronik Rumah Tangga,"Smart TV 43""",450000,1,450000,Kredit,Perempuan,21,5,Tidak,560000
TRX00476,2026-01-02,Surabaya,Elektronik Rumah Tangga,"Smart TV 43""",550000,4,2200000,Debit,Perempuan,33,4,Tidak,710000
TRX00477,2026-06-16,Malang,Elektronik Rumah Tangga,Air Fryer,3900000,3,11700000,Kredit,Laki-laki,18,5,Tidak,400000
TRX00478,2026-06-27,Bandung,Laptop,Acer Aspire 5,16750000,1,16750000,Kredit,Laki-laki,59,4,Tidak,290000
TRX00479,2026-02-18,Bandung,Smartphone,Xiaomi Redmi Note 14,9950000,2,19900000,Debit,Laki-laki,34,1,Tidak,370000
TRX00480,2026-02-28,Malang,Aksesoris,Power Bank,1200000,2,2900000,E-Wallet,Perempuan,46,5,Ya,410000
TRX00481,2026-01-24,Surabaya,Elektronik Rumah Tangga,Air Fryer,2750000,3,8250000,Tunai,Perempuan,22,3,Tidak,670000
TRX00482,2026-03-18,Surabaya,Smartphone,Xiaomi Redmi Note 14,6600000,2,14975000,Tunai,Laki-laki,58,2,Ya,450000
TRX00483,2026-01-24,Malang,Aksesoris,Keyboard Mechanical,650000,1,650000,Tunai,Perempuan,38,5,Tidak,590000
TRX00484,2026-03-25,Jakarta,Laptop,HP 14,12250000,1,14924000,Tunai,Perempuan,55,4,Ya,860000
TRX00485,2026-04-11,Jakarta,Laptop,Lenovo IdeaPad Slim 3,15350000,2,30700000,Kredit,Laki-laki,28,3,Tidak,960000
TRX00486,2026-01-02,Surabaya,Laptop,HP 14,7350000,3,26454000,Tunai,Laki-laki,57,5,Ya,740000
TRX00487,2026-06-15,Jakarta,Aksesoris,Headset Bluetooth,750000,1,750000,E-Wallet,Laki-laki,45,2,Tidak,870000
TRX00488,2026-06-13,Bandung,Laptop,Lenovo IdeaPad Slim 3,9350000,5,46750000,E-Wallet,Perempuan,53,2,Tidak,280000
TRX00489,2026-05-05,Jakarta,Laptop,Acer Aspire 5,11050000,1,12740000,Kredit,Perempuan,27,3,Ya,1050000
TRX00490,2026-02-07,Jakarta,Smartphone,Xiaomi Redmi Note 14,1800000,4,7200000,Debit,Laki-laki,38,3,Tidak,790000
TRX00491,2026-05-06,Bandung,Laptop,Acer Aspire 5,14000000,2,28000000,Kredit,Perempuan,20,3,Tidak,470000
TRX00492,2026-04-18,Surabaya,Elektronik Rumah Tangga,Air Fryer,6400000,3,19200000,E-Wallet,Laki-laki,51,3,Tidak,660000
TRX00493,2026-04-24,Surabaya,Aksesoris,Power Bank,1150000,1,1318000,Kredit,Perempuan,54,1,Ya,760000
TRX00494,2026-05-09,Surabaya,Smartphone,Vivo V30,8600000,1,8600000,Debit,Laki-laki,36,4,Tidak,580000
TRX00495,2026-01-10,Bandung,Smartphone,OPPO Reno 12,6300000,1,6300000,Debit,Perempuan,24,4,Tidak,460000
TRX00496,2026-05-15,Surabaya,Laptop,ASUS Vivobook 14,11050000,1,11050000,Kredit,Perempuan,56,4,Tidak,680000
TRX00497,2026-03-15,Jakarta,Aksesoris,Keyboard Mechanical,550000,1,675000,Debit,Perempuan,36,2,Ya,930000
TRX00498,2026-06-27,Malang,Aksesoris,Power Bank,800000,1,877000,Debit,Laki-laki,34,5,Ya,450000
TRX00499,2026-04-26,Surabaya,Smartphone,Vivo V30,10750000,5,53750000,Debit,Perempuan,46,1,Tidak,540000
TRX00500,2026-02-25,Bandung,Laptop,Acer Aspire 5,17400000,1,17400000,Kredit,Perempuan,26,4,Tidak,340000
TRX00501,2026-02-01,Jakarta,Aksesoris,Keyboard Mechanical,400000,6,2400000,Debit,Perempuan,33,3,Tidak,1070000
TRX00502,2026-02-28,Malang,Aksesoris,Power Bank,700000,2,1514000,Kredit,Laki-laki,28,4,Ya,460000
TRX00503,2026-02-07,Surabaya,Aksesoris,Power Bank,750000,1,750000,Kredit,Perempuan,39,4,Tidak,660000
TRX00504,2026-06-14,Jakarta,Smartphone,Samsung Galaxy A15,5300000,1,5603000,E-Wallet,Laki-laki,37,4,Ya,760000
TRX00505,2026-05-24,Bandung,Laptop,Lenovo IdeaPad Slim 3,16550000,3,49650000,E-Wallet,Laki-laki,34,5,Tidak,380000
TRX00506,2026-01-16,Surabaya,Aksesoris,Headset Bluetooth,600000,2,1200000,Kredit,Perempuan,28,3,Tidak,660000
TRX00507,2026-02-07,Surabaya,Aksesoris,Mouse Wireless,450000,1,450000,Kredit,Perempuan,19,2,Tidak,540000
TRX00508,2026-04-30,Malang,Smartphone,OPPO Reno 12,6150000,1,6150000,Debit,Perempuan,55,5,Tidak,400000
TRX00509,2026-06-01,Jakarta,Elektronik Rumah Tangga,Rice Cooker Digital,1000000,5,5000000,Debit,Perempuan,44,5,Tidak,950000
TRX00510,2026-04-19,Jakarta,Smartphone,Samsung Galaxy A15,4800000,1,4800000,Debit,Laki-laki,32,3,Tidak,1220000
TRX00511,2026-06-07,Malang,Aksesoris,Headset Bluetooth,1100000,4,4400000,E-Wallet,Laki-laki,51,2,Tidak,460000
TRX00512,2026-01-23,Surabaya,Laptop,HP 14,9500000,2,19000000,E-Wallet,Laki-laki,58,5,Tidak,520000
TRX00513,2026-06-12,Malang,Aksesoris,Headset Bluetooth,650000,4,3188000,Debit,Laki-laki,45,4,Ya,460000
TRX00514,2026-03-07,Jakarta,Laptop,Lenovo IdeaPad Slim 3,13950000,3,41850000,E-Wallet,Perempuan,30,5,Tidak,800000
TRX00515,2026-02-22,Surabaya,Aksesoris,Mouse Wireless,1000000,1,1000000,Tunai,Laki-laki,48,4,Tidak,480000
TRX00516,2026-04-04,Surabaya,Smartphone,Vivo V30,2950000,2,5900000,Debit,Laki-laki,26,5,Tidak,710000
TRX00517,2026-02-22,Jakarta,Aksesoris,Power Bank,600000,1,600000,Debit,Laki-laki,28,4,Tidak,960000
TRX00518,2026-06-24,Jakarta,Aksesoris,Headset Bluetooth,100000,2,224000,Debit,Laki-laki,41,5,Ya,1050000
TRX00519,2026-04-12,Surabaya,Smartphone,Samsung Galaxy A15,7850000,3,28069000,Tunai,Laki-laki,58,3,Ya,480000
TRX00520,2026-04-23,Surabaya,Laptop,Lenovo IdeaPad Slim 3,10100000,1,11285000,Tunai,Perempuan,36,4,Ya,670000
TRX00521,2026-03-21,Malang,Elektronik Rumah Tangga,Rice Cooker Digital,2750000,2,6782000,Debit,Laki-laki,60,4,Ya,410000
TRX00522,2026-01-31,Jakarta,Aksesoris,Keyboard Mechanical,300000,2,600000,E-Wallet,Laki-laki,50,4,Tidak,960000
TRX00523,2026-01-12,Surabaya,Smartphone,OPPO Reno 12,8550000,1,8550000,E-Wallet,Laki-laki,29,2,Tidak,660000
TRX00524,2026-06-23,Bandung,Smartphone,Vivo V30,9450000,2,18900000,Tunai,Perempuan,56,4,Tidak,400000
TRX00525,2026-03-05,Jakarta,Elektronik Rumah Tangga,Air Fryer,4500000,1,4500000,E-Wallet,Perempuan,56,3,Tidak,1130000
TRX00526,2026-06-20,Malang,Smartphone,OPPO Reno 12,12000000,1,12000000,Kredit,Perempuan,48,4,Tidak,580000
TRX00527,2026-03-29,Bandung,Smartphone,OPPO Reno 12,3100000,5,17713000,Kredit,Perempuan,19,5,Ya,370000
TRX00528,2026-06-30,Jakarta,Laptop,Acer Aspire 5,15100000,5,75500000,E-Wallet,Laki-laki,54,4,Tidak,840000
TRX00529,2026-03-24,Jakarta,Aksesoris,Power Bank,450000,1,450000,E-Wallet,Perempuan,40,4,Tidak,1210000
TRX00530,2026-01-21,Jakarta,Smartphone,Vivo V30,5650000,2,11300000,Debit,Perempuan,18,5,Tidak,850000
TRX00531,2026-06-14,Jakarta,Smartphone,OPPO Reno 12,10950000,4,43800000,Kredit,Laki-laki,51,2,Tidak,830000
TRX00532,2026-06-27,Bandung,Elektronik Rumah Tangga,Kipas Angin,4600000,1,4600000,Debit,Perempuan,32,2,Tidak,360000
TRX00533,2026-06-22,Malang,Laptop,HP 14,14000000,3,42000000,Debit,Laki-laki,35,2,Tidak,470000
TRX00534,2026-01-29,Bandung,Smartphone,Samsung Galaxy A15,2150000,2,4300000,E-Wallet,Perempuan,23,1,Tidak,390000
TRX00535,2026-02-08,Jakarta,Laptop,Acer Aspire 5,11750000,1,12387000,Debit,Perempuan,44,4,Ya,770000
TRX00536,2026-02-03,Surabaya,Aksesoris,Keyboard Mechanical,300000,3,1018000,Tunai,Perempuan,56,4,Ya,750000
TRX00537,2026-02-20,Jakarta,Laptop,Acer Aspire 5,14500000,4,58000000,Tunai,Perempuan,43,5,Tidak,1150000
TRX00538,2026-02-06,Jakarta,Elektronik Rumah Tangga,Air Fryer,6750000,2,15531000,Kredit,Laki-laki,53,4,Ya,910000
TRX00539,2026-05-01,Bandung,Smartphone,Samsung Galaxy A15,9300000,4,37200000,E-Wallet,Perempuan,38,4,Tidak,410000
TRX00540,2026-02-20,Jakarta,Elektronik Rumah Tangga,"Smart TV 43""",6200000,1,7114000,Kredit,Laki-laki,26,5,Ya,860000
TRX00541,2026-06-12,Bandung,Smartphone,Samsung Galaxy A15,11950000,6,71700000,E-Wallet,Perempuan,53,1,Tidak,340000
TRX00542,2026-02-19,Jakarta,Smartphone,Vivo V30,7700000,1,7700000,Kredit,Laki-laki,52,4,Tidak,830000
TRX00543,2026-03-24,Malang,Aksesoris,Keyboard Mechanical,450000,1,476000,E-Wallet,Laki-laki,41,2,Ya,340000
TRX00544,2026-05-18,Surabaya,Laptop,Acer Aspire 5,17800000,2,41920000,Kredit,Laki-laki,53,3,Ya,580000
TRX00545,2026-01-19,Malang,Aksesoris,Power Bank,1050000,5,5250000,Debit,Perempuan,33,5,Tidak,420000
TRX00546,2026-01-09,Malang,Smartphone,Samsung Galaxy A15,7100000,2,14200000,Tunai,Laki-laki,60,4,Tidak,480000
TRX00547,2026-05-03,Malang,Aksesoris,Headset Bluetooth,50000,5,250000,E-Wallet,Perempuan,59,4,Tidak,470000
TRX00548,2026-05-20,Jakarta,Elektronik Rumah Tangga,Rice Cooker Digital,3550000,2,7100000,Kredit,Laki-laki,37,1,Tidak,1000000
TRX00549,2026-05-27,Bandung,Smartphone,Xiaomi Redmi Note 14,7000000,4,28000000,Debit,Perempuan,47,4,Tidak,380000
TRX00550,2026-06-21,Jakarta,Smartphone,Vivo V30,7300000,2,14600000,Kredit,Perempuan,22,4,Tidak,960000
TRX00551,2026-01-19,Surabaya,Laptop,Lenovo IdeaPad Slim 3,14950000,3,47293000,Debit,Perempuan,45,5,Ya,530000
TRX00552,2026-06-06,Jakarta,Aksesoris,Keyboard Mechanical,1200000,1,1200000,E-Wallet,Laki-laki,22,3,Tidak,700000
TRX00553,2026-01-12,Surabaya,Elektronik Rumah Tangga,Air Fryer,3350000,2,8166000,Kredit,Perempuan,24,5,Ya,670000
TRX00554,2026-02-19,Bandung,Smartphone,OPPO Reno 12,8350000,4,33400000,Tunai,Perempuan,20,4,Tidak,420000
TRX00555,2026-06-04,Surabaya,Laptop,Acer Aspire 5,7350000,1,7350000,E-Wallet,Laki-laki,37,5,Tidak,660000
TRX00556,2026-05-16,Jakarta,Elektronik Rumah Tangga,Air Fryer,1400000,2,2800000,E-Wallet,Perempuan,46,3,Tidak,800000
TRX00557,2026-06-14,Malang,Elektronik Rumah Tangga,"Smart TV 43""",6600000,2,13200000,Debit,Laki-laki,28,5,Tidak,420000
TRX00558,2026-01-23,Jakarta,Aksesoris,Power Bank,900000,5,4500000,E-Wallet,Perempuan,54,4,Tidak,1010000
TRX00559,2026-04-17,Malang,Elektronik Rumah Tangga,Rice Cooker Digital,6900000,3,20700000,Tunai,Perempuan,50,4,Tidak,350000
TRX00560,2026-06-08,Jakarta,Laptop,ASUS Vivobook 14,16250000,2,32500000,Debit,Perempuan,44,4,Tidak,720000
TRX00561,2026-03-04,Surabaya,Elektronik Rumah Tangga,Kipas Angin,6700000,1,8129000,Debit,Perempuan,44,4,Ya,390000
TRX00562,2026-01-17,Surabaya,Aksesoris,Power Bank,250000,4,1000000,Debit,Perempuan,19,1,Tidak,750000
TRX00563,2026-03-17,Jakarta,Smartphone,OPPO Reno 12,10150000,1,11459000,E-Wallet,Perempuan,29,5,Ya,910000
TRX00564,2026-01-18,Jakarta,Elektronik Rumah Tangga,Kipas Angin,550000,5,2750000,E-Wallet,Perempuan,25,4,Tidak,930000
TRX00565,2026-03-12,Jakarta,Smartphone,Xiaomi Redmi Note 14,7450000,3,26579000,Debit,Perempuan,29,3,Ya,920000
TRX00566,2026-02-21,Jakarta,Aksesoris,Keyboard Mechanical,1000000,3,3000000,Debit,Laki-laki,20,4,Tidak,870000
TRX00567,2026-04-27,Bandung,Elektronik Rumah Tangga,Rice Cooker Digital,5750000,2,11500000,Debit,Perempuan,42,4,Tidak,390000
TRX00568,2026-04-14,Bandung,Aksesoris,Mouse Wireless,850000,2,1700000,Tunai,Laki-laki,48,2,Tidak,400000
TRX00569,2026-02-23,Malang,Smartphone,Vivo V30,5850000,3,19959000,Tunai,Perempuan,52,5,Ya,380000
TRX00570,2026-04-20,Malang,Laptop,HP 14,12500000,1,15488000,Kredit,Laki-laki,41,5,Ya,460000
TRX00571,2026-01-31,Bandung,Laptop,Acer Aspire 5,15350000,1,18114000,Tunai,Perempuan,34,4,Ya,380000
TRX00572,2026-05-08,Malang,Smartphone,OPPO Reno 12,9200000,5,46000000,Debit,Perempuan,48,5,Tidak,340000
TRX00573,2026-03-15,Bandung,Smartphone,Samsung Galaxy A15,8700000,2,20878000,Debit,Laki-laki,56,4,Ya,380000
TRX00574,2026-04-27,Jakarta,Laptop,ASUS Vivobook 14,15800000,1,15800000,Debit,Perempuan,23,3,Tidak,1020000
TRX00575,2026-01-15,Malang,Aksesoris,Mouse Wireless,650000,1,650000,E-Wallet,Perempuan,33,4,Tidak,530000
TRX00576,2026-01-02,Bandung,Aksesoris,Power Bank,400000,3,1200000,E-Wallet,Laki-laki,40,5,Tidak,440000
TRX00577,2026-01-01,Malang,Aksesoris,Keyboard Mechanical,600000,3,1800000,Debit,Perempuan,41,4,Tidak,430000
TRX00578,2026-01-03,Jakarta,Aksesoris,Mouse Wireless,350000,1,350000,Debit,Laki-laki,47,3,Tidak,780000
TRX00579,2026-02-24,Malang,Aksesoris,Keyboard Mechanical,650000,4,2600000,Tunai,Perempuan,20,2,Tidak,610000
TRX00580,2026-04-01,Malang,Smartphone,Vivo V30,2400000,2,5739000,E-Wallet,Laki-laki,19,4,Ya,510000
TRX00581,2026-04-23,Bandung,Aksesoris,Mouse Wireless,1100000,5,5870000,Debit,Perempuan,21,5,Ya,460000
TRX00582,2026-05-05,Malang,Aksesoris,Mouse Wireless,950000,3,3498000,E-Wallet,Laki-laki,33,2,Ya,370000
TRX00583,2026-02-13,Bandung,Elektronik Rumah Tangga,Rice Cooker Digital,3300000,3,9900000,E-Wallet,Laki-laki,56,4,Tidak,420000
TRX00584,2026-01-09,Surabaya,Smartphone,Xiaomi Redmi Note 14,5300000,1,5300000,Kredit,Laki-laki,23,2,Tidak,550000
TRX00585,2026-04-02,Jakarta,Elektronik Rumah Tangga,Kipas Angin,1150000,5,5750000,Kredit,Laki-laki,24,4,Tidak,710000
TRX00586,2026-06-05,Malang,Smartphone,Samsung Galaxy A15,3550000,1,3550000,Kredit,Laki-laki,58,5,Tidak,460000
TRX00587,2026-01-12,Jakarta,Laptop,Acer Aspire 5,11850000,1,11850000,Kredit,Laki-laki,57,3,Tidak,1100000
TRX00588,2026-04-03,Bandung,Elektronik Rumah Tangga,Air Fryer,2950000,1,3662000,Kredit,Laki-laki,44,1,Ya,410000
TRX00589,2026-01-09,Bandung,Smartphone,Samsung Galaxy A15,6300000,4,25200000,E-Wallet,Perempuan,19,5,Tidak,400000
TRX00590,2026-04-04,Malang,Elektronik Rumah Tangga,Kipas Angin,3850000,2,7700000,Kredit,Perempuan,25,3,Tidak,490000
TRX00591,2026-06-24,Jakarta,Elektronik Rumah Tangga,Rice Cooker Digital,3050000,2,6100000,Debit,Laki-laki,47,3,Tidak,1240000
TRX00592,2026-02-25,Jakarta,Smartphone,OPPO Reno 12,3150000,1,3551000,Debit,Perempuan,48,5,Ya,850000
TRX00593,2026-05-07,Surabaya,Elektronik Rumah Tangga,Kipas Angin,3600000,5,18000000,Kredit,Perempuan,21,3,Tidak,600000
TRX00594,2026-06-30,Malang,Smartphone,OPPO Reno 12,11400000,2,25959000,Kredit,Perempuan,23,4,Ya,320000
TRX00595,2026-01-04,Jakarta,Laptop,ASUS Vivobook 14,15200000,3,45600000,E-Wallet,Laki-laki,41,1,Tidak,800000
TRX00596,2026-04-30,Bandung,Aksesoris,Power Bank,350000,2,700000,E-Wallet,Perempuan,35,3,Tidak,460000
TRX00597,2026-04-24,Malang,Elektronik Rumah Tangga,Kipas Angin,1300000,2,3061000,Kredit,Perempuan,25,4,Ya,560000
TRX00598,2026-05-25,Bandung,Aksesoris,Headset Bluetooth,50000,1,50000,Kredit,Laki-laki,59,4,Tidak,410000
TRX00599,2026-03-07,Surabaya,Smartphone,Vivo V30,10900000,2,23553000,Debit,Laki-laki,30,4,Ya,690000
TRX00600,2026-06-16,Surabaya,Laptop,ASUS Vivobook 14,7600000,1,7600000,Kredit,Perempuan,29,5,Tidak,620000
TRX00601,2026-05-13,Surabaya,Aksesoris,Keyboard Mechanical,100000,2,200000,E-Wallet,Laki-laki,43,5,Tidak,640000
TRX00602,2026-01-25,Malang,Smartphone,Samsung Galaxy A15,3600000,1,3600000,Debit,Perempuan,23,3,Tidak,450000
TRX00603,2026-04-08,Bandung,Aksesoris,Keyboard Mechanical,250000,1,265000,Debit,Perempuan,50,3,Ya,400000
TRX00604,2026-03-26,Surabaya,Aksesoris,Power Bank,750000,2,1837000,Debit,Perempuan,53,5,Ya,660000
TRX00605,2026-05-26,Bandung,Laptop,Lenovo IdeaPad Slim 3,7250000,2,14500000,E-Wallet,Laki-laki,51,4,Tidak,400000
TRX00606,2026-02-20,Jakarta,Laptop,HP 14,7800000,5,39000000,E-Wallet,Perempuan,53,4,Tidak,720000
TRX00607,2026-04-25,Malang,Laptop,Acer Aspire 5,10950000,3,35733000,Kredit,Laki-laki,51,5,Ya,420000
TRX00608,2026-06-08,Bandung,Aksesoris,Power Bank,250000,2,500000,Tunai,Laki-laki,53,5,Tidak,440000
TRX00609,2026-02-24,Bandung,Aksesoris,Keyboard Mechanical,350000,1,350000,Debit,Perempuan,37,3,Tidak,420000
TRX00610,2026-06-28,Jakarta,Laptop,ASUS Vivobook 14,12300000,4,56233000,E-Wallet,Perempuan,59,3,Ya,940000
TRX00611,2026-01-19,Jakarta,Aksesoris,Mouse Wireless,450000,2,900000,Debit,Laki-laki,51,5,Tidak,760000
TRX00612,2026-01-20,Bandung,Laptop,Lenovo IdeaPad Slim 3,10650000,1,13289000,Kredit,Perempuan,43,3,Ya,410000
TRX00613,2026-05-23,Jakarta,Elektronik Rumah Tangga,Air Fryer,1400000,2,3215000,Kredit,Laki-laki,46,4,Ya,900000
TRX00614,2026-05-04,Bandung,Laptop,Lenovo IdeaPad Slim 3,16000000,2,32000000,Kredit,Perempuan,56,4,Tidak,430000
TRX00615,2026-05-26,Malang,Elektronik Rumah Tangga,Air Fryer,1400000,3,4200000,Debit,Perempuan,35,5,Tidak,500000
TRX00616,2026-01-13,Malang,Elektronik Rumah Tangga,Rice Cooker Digital,3550000,1,3550000,Tunai,Laki-laki,38,4,Tidak,520000
TRX00617,2026-06-18,Jakarta,Aksesoris,Mouse Wireless,350000,5,1750000,Kredit,Laki-laki,59,5,Tidak,980000
TRX00618,2026-06-11,Jakarta,Smartphone,OPPO Reno 12,10300000,2,20600000,Debit,Perempuan,37,5,Tidak,1020000
TRX00619,2026-01-18,Bandung,Elektronik Rumah Tangga,Kipas Angin,950000,1,950000,E-Wallet,Perempuan,42,3,Tidak,430000
TRX00620,2026-02-20,Surabaya,Aksesoris,Power Bank,400000,2,800000,Kredit,Laki-laki,38,5,Tidak,590000
TRX00621,2026-02-07,Malang,Aksesoris,Power Bank,750000,1,799000,E-Wallet,Laki-laki,21,4,Ya,400000
TRX00622,2026-05-20,Jakarta,Smartphone,Samsung Galaxy A15,8850000,6,53100000,Tunai,Perempuan,32,2,Tidak,720000
