tanggal,cabang,kategori_produk,harga_satuan,jumlah,total_penjualan,metode_pembayaran,usia_pelanggan
2024-06-26,Jakarta,Kulkas,3837000,1,3837000,Kartu Debit,34
2024-06-26,Surabaya,Aksesoris,636000,1,636000,Tunai,32
2024-06-26,Bandung,Smartphone,7412000,1,7412000,Tunai,49
2024-06-27,Jakarta,Aksesoris,375000,2,750000,QRIS,44
2024-06-27,Jakarta,Aksesoris,557000,1,557000,QRIS,39
2024-06-28,Malang,TV,7344000,1,7344000,Tunai,35
2024-06-28,Surabaya,Smartphone,6524000,1,6524000,QRIS,24
2024-06-28,Surabaya,TV,3541000,1,3541000,Kartu Debit,47
2024-06-28,Surabaya,Kulkas,5386000,1,5386000,QRIS,45
2024-06-28,Jakarta,Smartphone,7395000,1,7395000,QRIS,27
2024-06-29,Bandung,Smartphone,5603000,1,5603000,Kartu Kredit,26
2024-06-29,Surabaya,Kulkas,7512000,1,7512000,Kartu Kredit,45
2024-06-29,Surabaya,AC,4138000,1,4138000,QRIS,22
